label,source,theme,pool,months,included
jkp:accruals:are,JKP,accruals,light,149,False
jkp:accruals:arg,JKP,accruals,light,53,False
jkp:accruals:aus,JKP,accruals,light,422,True
jkp:accruals:aut,JKP,accruals,light,416,True
jkp:accruals:bel,JKP,accruals,light,416,True
jkp:accruals:bgd,JKP,accruals,light,41,False
jkp:accruals:bra,JKP,accruals,light,260,False
jkp:accruals:can,JKP,accruals,light,526,True
jkp:accruals:che,JKP,accruals,light,416,True
jkp:accruals:chl,JKP,accruals,light,385,True
jkp:accruals:chn,JKP,accruals,light,351,False
jkp:accruals:col,JKP,accruals,light,216,False
jkp:accruals:deu,JKP,accruals,light,419,True
jkp:accruals:dnk,JKP,accruals,light,416,True
jkp:accruals:egy,JKP,accruals,light,68,False
jkp:accruals:esp,JKP,accruals,light,404,True
jkp:accruals:fin,JKP,accruals,light,416,True
jkp:accruals:fra,JKP,accruals,light,416,True
jkp:accruals:gbr,JKP,accruals,light,480,True
jkp:accruals:grc,JKP,accruals,light,164,False
jkp:accruals:hkg,JKP,accruals,light,422,True
jkp:accruals:hrv,JKP,accruals,light,9,False
jkp:accruals:idn,JKP,accruals,light,325,False
jkp:accruals:ind,JKP,accruals,light,282,False
jkp:accruals:irl,JKP,accruals,light,228,False
jkp:accruals:isr,JKP,accruals,light,344,False
jkp:accruals:ita,JKP,accruals,light,416,True
jkp:accruals:jpn,JKP,accruals,light,480,True
jkp:accruals:kor,JKP,accruals,light,368,True
jkp:accruals:kwt,JKP,accruals,light,140,False
jkp:accruals:mar,JKP,accruals,light,103,False
jkp:accruals:mex,JKP,accruals,light,392,True
jkp:accruals:mys,JKP,accruals,light,422,True
jkp:accruals:nga,JKP,accruals,light,22,False
jkp:accruals:nld,JKP,accruals,light,416,True
jkp:accruals:nor,JKP,accruals,light,416,True
jkp:accruals:nzl,JKP,accruals,light,392,True
jkp:accruals:pak,JKP,accruals,light,133,False
jkp:accruals:per,JKP,accruals,light,227,False
jkp:accruals:phl,JKP,accruals,light,235,False
jkp:accruals:pol,JKP,accruals,light,241,False
jkp:accruals:prt,JKP,accruals,light,332,False
jkp:accruals:qat,JKP,accruals,light,212,False
jkp:accruals:rus,JKP,accruals,light,270,False
jkp:accruals:sau,JKP,accruals,light,284,False
jkp:accruals:sgp,JKP,accruals,light,422,True
jkp:accruals:svn,JKP,accruals,light,11,False
jkp:accruals:swe,JKP,accruals,light,416,True
jkp:accruals:tha,JKP,accruals,light,325,False
